filename,width,height,class,xmin,ymin,xmax,ymax
frame0.jpg,1000,800,CigaretteButt,573,458,646,589
frame10002.jpg,1000,800,CigaretteButt,453,108,555,198
frame10008.jpg,1000,800,CigaretteButt,456,137,544,220
frame1002.jpg,1000,800,CigaretteButt,250,196,302,312
frame10044.jpg,1000,800,CigaretteButt,301,220,358,320
frame10044.jpg,1000,800,CigaretteButt,644,413,697,522
frame10044.jpg,1000,800,CigaretteButt,485,567,578,640
frame10050.jpg,1000,800,CigaretteButt,305,247,357,341
frame10050.jpg,1000,800,CigaretteButt,653,436,711,546
frame10050.jpg,1000,800,CigaretteButt,494,592,581,666
frame10056.jpg,1000,800,CigaretteButt,308,256,361,346
frame10056.jpg,1000,800,CigaretteButt,650,442,709,556
frame10056.jpg,1000,800,CigaretteButt,494,601,581,672
frame10062.jpg,1000,800,CigaretteButt,319,242,372,339
frame10062.jpg,1000,800,CigaretteButt,506,592,592,662
frame10062.jpg,1000,800,CigaretteButt,664,437,718,550
frame10068.jpg,1000,800,CigaretteButt,324,231,384,324
frame10068.jpg,1000,800,CigaretteButt,517,583,600,652
frame10068.jpg,1000,800,CigaretteButt,674,425,733,544
frame10074.jpg,1000,800,CigaretteButt,368,234,424,326
frame10074.jpg,1000,800,CigaretteButt,552,586,635,662
frame10074.jpg,1000,800,CigaretteButt,722,435,772,556
frame1008.jpg,1000,800,CigaretteButt,269,196,322,325
frame10080.jpg,1000,800,CigaretteButt,420,262,484,361
frame10080.jpg,1000,800,CigaretteButt,605,642,691,723
frame10080.jpg,1000,800,CigaretteButt,778,502,835,616
frame10086.jpg,1000,800,CigaretteButt,472,302,548,408
frame10086.jpg,1000,800,CigaretteButt,850,581,909,702
frame10086.jpg,1000,800,CigaretteButt,656,725,752,798
frame10092.jpg,1000,800,CigaretteButt,509,318,584,428
frame10092.jpg,1000,800,CigaretteButt,913,634,972,768
frame10098.jpg,1000,800,CigaretteButt,518,309,594,424
frame10110.jpg,1000,800,CigaretteButt,505,330,589,470
frame10116.jpg,1000,800,CigaretteButt,487,319,583,451
frame10122.jpg,1000,800,CigaretteButt,484,297,572,420
frame10128.jpg,1000,800,CigaretteButt,486,268,575,390
frame10134.jpg,1000,800,CigaretteButt,476,230,567,355
frame10134.jpg,1000,800,CigaretteButt,940,637,999,800
frame1014.jpg,1000,800,CigaretteButt,287,207,341,328
frame10140.jpg,1000,800,CigaretteButt,475,203,564,325
frame10140.jpg,1000,800,CigaretteButt,935,629,987,785
frame10146.jpg,1000,800,CigaretteButt,486,191,578,312
frame10146.jpg,1000,800,CigaretteButt,935,653,985,800
frame10152.jpg,1000,800,CigaretteButt,512,179,615,305
frame10158.jpg,1000,800,CigaretteButt,505,197,607,302
frame10164.jpg,1000,800,CigaretteButt,272,686,394,781
frame10164.jpg,1000,800,CigaretteButt,512,179,618,287
frame10170.jpg,1000,800,CigaretteButt,264,657,369,751
frame10170.jpg,1000,800,CigaretteButt,525,175,628,269
frame10176.jpg,1000,800,CigaretteButt,264,622,367,719
frame10176.jpg,1000,800,CigaretteButt,536,162,642,253
frame10182.jpg,1000,800,CigaretteButt,258,587,350,690
frame10182.jpg,1000,800,CigaretteButt,537,153,640,240
frame10188.jpg,1000,800,CigaretteButt,245,575,342,681
frame10188.jpg,1000,800,CigaretteButt,522,152,628,235
frame1020.jpg,1000,800,CigaretteButt,301,202,353,324
